EmpID,EmpFirst,EmpLast,WarehouseID,SSN,DOB,StartDate,EndDate,Address,City,State,Zip,PositionID,Phone,Cell,Salary,HourlyRate,Review,Memo
1,David,Bowers,WA-1,154003785,1985-09-12,1998-01-22,\N,10124 Metropolitan Drive,Seattle,WA,98117,1,2062465132,2065754321,72000.00,\N,\N,\N
2,Robert,Iko,WA-1,705246513,1994-12-16,2006-12-15,\N,698 Round Mountain,Seattle,WA,98124,7,2065472315,2064875312,59500.00,\N,2007-06-15,\N
3,Virginia,Sanchez,WA-1,724568132,1988-10-24,2004-06-10,\N,201 River Road,Spokane,WA,99215,2,5093451687,5096348732,48500.00,\N,2007-12-15,Emergency contact for alarm company
4,Eric,Behrens,WY-1,956346120,1995-02-14,2005-09-12,2006-02-15,21 Adrian Way,Jackson Hole,WY,83005,3,3075461272,3075763154,\N,12.50,\N,\N
7,Brian,Castillo,OR-1,923546124,1990-08-14,2001-06-14,\N,52 Denton Drive #49,Portland,OR,97205,3,5035742742,5035647154,\N,12.75,2008-06-14,\N
8,Cynthia,Cox,OR-1,854230000,1985-10-06,2006-12-30,\N,1515 Patterson Road,Portland,OR,97210,2,5032412423,5035496113,50000.00,\N,2007-06-30,\N
9,John,Maestas,WA-1,487002468,1995-11-24,2001-11-15,\N,5506 Beach Street West,Spokane,WA,99216,4,5096741543,5093782312,42500.00,\N,2007-11-01,Speaks fluent Spanish
10,Mark,Cumberland,OR-1,705435126,1996-07-30,2002-10-01,2006-03-15,16542 Angus Road #280,Portland,OR,97206,6,5032486453,5032786424,\N,12.25,\N,\N
11,Darnell,Colmenero,WA-1,723549785,1997-04-05,2002-09-02,\N,6000 Balcones Drive,Seattle,WA,98113,3,2063475354,2063547215,\N,15.00,2008-09-15,\N
12,James,Lu,WY-1,709564321,1999-12-31,2005-02-24,\N,5003 Mallard Avenue #587,Jackson Hole,WY,83001,2,3076784513,3072468732,48500.00,\N,2007-02-24,Speaks fluent Chinese
13,Barry,Orosco,WA-1,723246875,1989-07-04,2006-03-21,2006-05-15,2001 Kenosha Pass,Spokane,WA,99216,5,5093451357,5093575166,\N,9.75,\N,\N
14,Richard,Hargadon,WA-1,984651372,1991-03-01,2006-07-15,\N,901 Great Oaks Cove,Seattle,WA,98154,6,2063547987,2063541287,\N,10.50,2007-08-15,\N
15,John,Nader,WY-1,905346755,1992-04-24,2001-08-01,\N,321 Sturgis,Jackson Hole,WY,83001,3,3075467135,3072468731,\N,11.25,2008-08-01,\N
16,George,Medrano,WA-1,546570000,1994-04-10,2006-10-15,\N,3987 NW 87th Street #8,Seattle,WA,98124,6,2063412024,2063241200,\N,11.25,2008-10-15,\N
17,Rachel,Goodman,OR-1,978451342,1997-06-21,2004-11-03,\N,9876 Parker Street,Portland,OR,97204,5,5032415756,5032175613,\N,12.75,2008-01-15,On maternity leave through 12/2008
18,Shayla,Anderson,WA-1,926543210,1988-09-28,2003-09-24,\N,4321 Barton Cliff Drive,Seattle,WA,98124,6,2063214571,2063218756,\N,12.50,2008-09-15,\N
19,Alfonso,Ozmun,WA-1,946532100,1990-05-30,2005-06-15,\N,510 Immanuel Avenue,Seattle,WA,98126,5,2063124024,2062497513,\N,12.00,2008-02-28,\N
20,Sophia,Nunis,WA-1,987451372,1989-12-12,2006-10-20,\N,5471 Wyoming Springs Way,Spokane,WA,99214,6,5093478992,5098973246,\N,12.00,2008-01-15,\N
21,Dora,Nettles,WA-1,723246512,1988-10-14,2002-10-21,\N,24 Frontier Trail NE,Seattle,WA,98123,3,2067546512,2065795462,\N,14.75,2008-02-15,\N
22,Kristina,Romano,WA-1,704513547,1997-06-20,2001-05-20,\N,8 Anderson Loop,Seattle,WA,98113,4,2062449876,2062748648,45000.00,\N,2008-05-01,\N
23,Doug,Hearne,OR-1,722154321,1982-05-21,2004-01-15,\N,11 Lost Pine Trail,Portland,OR,97204,6,5032462465,5037654354,\N,12.75,2008-01-15,\N
